Candidate Name,Email,Department Code,Clarity of questions,Usability of Test Interface,Usability of Code Editor,Fairness of skill assessment,Extra Comment
Mahala,Mahala1985@company.com,F,2.0,3.0,4.0,3.0,
Michael,Michael1998@yahoo.com,C,2.0,1.0,1.0,2.0,
Unique,Unique1976@company.com,A,4.0,3.0,3.0,5.0,
Kathie,Kathie1975@company.com,B,2.0,5.0,5.0,5.0,
Laurence,Laurence1991@yahoo.com,B,5.0,5.0,5.0,5.0,
Venessa,Venessa1979@gmail.com,B,5.0,4.0,4.0,4.0,
Forest,Forest1977@,B,3.0,,,,
Susan,Susan1975@gmail.com,H,1.0,,,,
Jacques,Jacques1976@gmail.com,A,5.0,5.0,5.0,5.0,
Lavonne,Lavonne1975@company.com,C,4.0,4.0,4.0,4.0,
Rosalee,Rosalee1999@hotmail.com,B,4.0,4.0,3.0,4.0,
Malakai,Malakai1981@company.com,F,4.0,5.0,4.0,4.0,
Annabella,Annabella1971@gmail.com,G,4.0,5.0,5.0,5.0,
Calhoun,Calhoun1985@,B,2.0,2.0,3.0,3.0,
Coleman,Coleman1990@hotmail.com,G,5.0,5.0,5.0,5.0,thanks
Corrine,Corrine1994@company.com,A,5.0,5.0,5.0,5.0,
Jeffry,Jeffry1978@company.com,C,4.0,4.0,4.0,4.0,
Devonte,Devonte1988@yahoo.com,D,3.0,3.0,3.0,4.0,
Cheryle,Cheryle1974@gmail.com,A,3.0,4.0,4.0,4.0,
Yoshio,Yoshio1983@gmail.com,G,3.0,1.0,1.0,4.0,
Thresa,Thresa1999@,F,3.0,4.0,4.0,4.0,
Ruthe,Ruthe1981@company.in,G,4.0,4.0,4.0,5.0,
Retta,Retta1996@company.in,B,4.0,4.0,4.0,4.0,"Pretty much happy with what i have done and really looking forward for a job in a company like JUSPAY. i have done the hardwork and let's see what happens now._x005F_x000D_
_x005F_x000D_
Thnak U."
Cleve,Cleve1984@hotmail.com,H,4.0,1.0,1.0,5.0,
Miner,Miner1989@company.com,G,1.0,5.0,5.0,5.0,
Ami,Ami1976@,A,1.0,1.0,1.0,1.0,
Loyce,Loyce1987@hotmail.com,E,4.0,4.0,5.0,3.0,
Kia,Kia1991@gmail.com,E,3.0,2.0,1.0,4.0,
Merry,Merry1970@hotmail.com,E,4.0,1.0,1.0,5.0,"We should  must have option to edit our previous submission. _x005F_x000D_
Terrible Interface "
Hilda,Hilda1991@company.in,H,5.0,5.0,5.0,5.0,
Orvis,Orvis1979@company.in,G,1.0,4.0,3.0,5.0,
Robin,Robin1989@hotmail.com,E,5.0,5.0,5.0,5.0,
Emit,Emit1998@hotmail.com,G,5.0,5.0,1.0,5.0,Copy paste between questions was not possible
Alex,Alex1978@company.in,B,4.0,4.0,4.0,4.0,
Vashti,Vashti1995@company.in,C,5.0,5.0,5.0,5.0,
Roxana,Roxana1993@company.com,G,5.0,5.0,5.0,5.0,
Maurine,Maurine1990@company.com,C,1.0,2.0,2.0,3.0,
Graciela,Graciela1970@hotmail.com,F,5.0,2.0,2.0,4.0,
Creola,Creola1992@yahoo.com,E,2.0,5.0,5.0,5.0,
Bernhard,Bernhard1993@hotmail.com,A,2.0,3.0,2.0,2.0,
Lyndon,Lyndon1970@hotmail.com,H,5.0,5.0,5.0,5.0,
Myron,Myron1991@company.in,H,3.0,3.0,3.0,3.0,
Briley,Briley1985@gmail.com,E,3.0,1.0,4.0,4.0,
Zebulon,Zebulon1989@gmail.com,E,2.0,2.0,2.0,2.0,
Luna,Luna1986@company.com,C,5.0,5.0,5.0,5.0,
Torey,Torey1996@company.in,G,5.0,5.0,5.0,5.0,
Siena,Siena1989@company.in,E,5.0,3.0,3.0,5.0,
Coen,Coen1983@hotmail.com,H,4.0,1.0,1.0,4.0,Please allow copying of code from one question to another at least within the website if not from elsewhere. Users have to write same solutions twice or thrice if the questions are inter related as in this case. The code editor auto complete doesn't work most of the time. It magically appears or disappears anytime. 
Diego,Diego1988@company.com,G,2.0,4.0,4.0,4.0,
Thomas,Thomas1999@gmail.com,H,5.0,5.0,5.0,5.0,
Marylin,Marylin1975@,F,1.0,1.0,1.0,1.0,
Nola,Nola1998@company.com,C,5.0,5.0,,,
Verlyn,Verlyn1996@,D,3.0,4.0,5.0,4.0,
Montserrat,Montserrat1993@company.in,E,3.0,1.0,,,"Please improve your interface. I lost a lot of time just trying to figure out STDIN stuff. I mean it's 2021 can't you guys figure out how to parse these inputs and just ask the candidate to fill out the requisite functions._x005F_x000D_
Look at Hackerrank, LeetCode, interviewbit, etc. all of them do it."
Simona,Simona1996@yahoo.com,H,5.0,5.0,5.0,5.0,
Helena,Helena1992@company.com,H,1.0,1.0,2.0,3.0,
Charle,Charle1994@company.com,E,2.0,1.0,1.0,4.0,
Trula,Trula1970@hotmail.com,C,3.0,4.0,4.0,4.0,
Antwon,Antwon1975@company.com,E,1.0,1.0,1.0,1.0,"1. The problems were not clear. _x005F_x000D_
2. The input format was not clear. _x005F_x000D_
3. The constraints were not mentioned. _x005F_x000D_
4. The problem statement was not clear._x005F_x000D_
5. It was not mentioned that it is a directed graph. _x005F_x000D_
6. It was not mentioned that you have to print -1 if there is no answer. _x005F_x000D_
7. Why is there unnecessary coordinate compression ? If all 3 problems are based on the same graph, we should be able to reuse the same code ? "
Carma,Carma1984@company.in,F,1.0,1.0,1.0,1.0,
Doreen,Doreen1971@yahoo.com,G,2.0,5.0,3.0,2.0,
Karli,Karli1997@yahoo.com,F,5.0,5.0,5.0,5.0,
Gracia,Gracia1991@,G,4.0,4.0,4.0,4.0,
Milas,Milas1974@gmail.com,G,1.0,5.0,5.0,4.0,
Hortencia,Hortencia1993@company.in,D,1.0,1.0,1.0,1.0,"This was the worst test I have attempted on HackerEarth in several years._x005F_x000D_
_x005F_x000D_
1. Unclear problem statement - it wasn't clear whether the graphs for all problems were supposed to be directed or undirected. Granted the terms used were follower and following but these were used in the input format and not the problem statement itself._x005F_x000D_
_x005F_x000D_
2. For problem 2, it wasn't stated what to return when there is no path between the follower and expert. It was -1, but that should have been explicitly stated._x005F_x000D_
_x005F_x000D_
3. for problem 3, we needed to output a SORTED set of vertices to remove, which was not mentioned anywhere_x005F_x000D_
_x005F_x000D_
4. Also, it wasn't clear what to do in problem 3, whether removing someone immediate from the network removes all the incoming edges from them or outgoing edges._x005F_x000D_
_x005F_x000D_
5. There was no diagram to explain the ambiguous questions. _x005F_x000D_
_x005F_x000D_
6. There were no input constraints given in the problem_x005F_x000D_
_x005F_x000D_
7. There was no way to test the code with custom test cases"
Willene,Willene1974@,E,1.0,3.0,2.0,3.0,
Jaimee,Jaimee1980@gmail.com,G,5.0,5.0,5.0,5.0,
Lassie,Lassie1982@company.com,H,3.0,5.0,4.0,3.0,
Lesia,Lesia1993@hotmail.com,D,4.0,4.0,,,
Dejuan,Dejuan1996@yahoo.com,D,2.0,3.0,3.0,3.0,
Marian,Marian1970@,F,1.0,1.0,1.0,1.0,
Curtiss,Curtiss1975@gmail.com,F,5.0,5.0,5.0,5.0,
Karren,Karren1984@,A,5.0,2.0,5.0,4.0,
Hartley,Hartley1989@company.com,G,5.0,5.0,5.0,5.0,
Nadine,Nadine1973@hotmail.com,E,2.0,5.0,5.0,5.0,
Sabrina,Sabrina1999@company.in,B,4.0,4.0,4.0,4.0,best
Kimball,Kimball1980@company.com,D,2.0,2.0,1.0,4.0,
Jelani,Jelani1992@,A,1.0,4.0,4.0,4.0,
Kaleigh,Kaleigh1974@gmail.com,D,4.0,3.0,4.0,3.0,
Reece,Reece1994@company.com,G,2.0,3.0,3.0,3.0,
Baxter,Baxter1984@,D,2.0,2.0,2.0,4.0,"1. VS Code editor mode is not good. It shows compilation error even when there are none. _x005F_x000D_
2. Constraints on input not given forcing to make assumptions._x005F_x000D_
3. No option to run custom test cases. "
Juana,Juana1977@company.com,G,4.0,3.0,5.0,4.0,
Conard,Conard1998@company.com,A,3.0,4.0,4.0,3.0,
Garrett,Garrett1992@yahoo.com,F,1.0,3.0,4.0,2.0,
Thad,Thad1995@company.com,C,1.0,1.0,1.0,1.0,"Was this a typing speed test?_x005F_x000D_
Why do I need to write all the code to get inputs? _x005F_x000D_
Can't the function logic only be just fine?_x005F_x000D_
Annoying waste of time."
Effa,Effa1998@company.com,D,1.0,,2.0,5.0,
Dannie,Dannie1977@,C,1.0,4.0,5.0,3.0,In second problem if node is not reachable then we should print -1 but not stated in problem.
Xzavier,Xzavier1980@hotmail.com,D,5.0,5.0,5.0,5.0,
Amasa,Amasa1989@company.in,E,2.0,2.0,2.0,4.0,
Artie,Artie1980@hotmail.com,A,5.0,5.0,5.0,5.0,
Estelle,Estelle1996@gmail.com,H,2.0,3.0,3.0,3.0,sdasdas
Orlena,Orlena1976@company.in,F,3.0,5.0,5.0,4.0,
Cordie,Cordie1986@hotmail.com,E,4.0,5.0,5.0,4.0,
Mai,Mai1985@,H,5.0,5.0,5.0,5.0,
Alberta,Alberta1983@company.com,G,2.0,2.0,3.0,2.0,
Tatyanna,Tatyanna1993@gmail.com,B,1.0,5.0,5.0,1.0,
Hays,Hays1975@hotmail.com,H,1.0,1.0,1.0,1.0,
Tatianna,Tatianna1984@company.com,H,,,,,"All are similar questions, since there is no option of copy/paste,  similar logic has to be re-written, due to which a lot of time is wasted. Maybe for such questions, if there is an option of re-using previously written code, we can spend time in writing actual logic rather than the same base code  again."
Renae,Renae1991@hotmail.com,B,2.0,5.0,5.0,5.0,Test cases were not proper
Elizebeth,Elizebeth1985@yahoo.com,C,2.0,2.0,2.0,2.0,
Allene,Allene1994@company.com,F,2.0,4.0,2.0,2.0,
Markell,Markell1979@company.in,D,3.0,3.0,3.0,3.0,
Sharee,Sharee1977@company.com,F,5.0,5.0,5.0,5.0,
Sibyl,Sibyl1996@gmail.com,C,5.0,5.0,5.0,5.0,
Jerrie,Jerrie1983@,F,1.0,3.0,4.0,3.0,
Keegan,Keegan1978@yahoo.com,D,5.0,5.0,5.0,5.0,
Roberto,Roberto1988@yahoo.com,E,3.0,3.0,2.0,4.0,
Sadie,Sadie1986@company.in,H,5.0,5.0,5.0,5.0,
Cathi,Cathi1981@company.in,E,2.0,4.0,4.0,3.0,
Latoyia,Latoyia1992@hotmail.com,H,4.0,4.0,1.0,1.0,"Copying code from one question to other question should be allowed, you are not testing typing speed here."
Zoa,Zoa1999@,F,5.0,5.0,5.0,5.0,
Dillan,Dillan1981@hotmail.com,F,5.0,5.0,5.0,5.0,
Rosaria,Rosaria1978@company.com,A,5.0,5.0,5.0,5.0,
Fredrick,Fredrick1984@company.in,B,2.0,3.0,3.0,4.0,
Reuben,Reuben1988@yahoo.com,H,1.0,5.0,5.0,5.0,
Elmira,Elmira1990@company.in,C,1.0,3.0,2.0,4.0,
Gwenda,Gwenda1994@hotmail.com,D,5.0,5.0,5.0,2.0,
Ama,Ama1991@gmail.com,B,3.0,4.0,4.0,5.0,
Cristian,Cristian1989@,G,5.0,5.0,5.0,5.0,
Jacques,Jacques1992@hotmail.com,G,5.0,5.0,5.0,5.0,"Overall, a great experience"
Almeda,Almeda1995@hotmail.com,C,4.0,5.0,5.0,4.0,
Heriberto,Heriberto1970@company.com,G,1.0,4.0,2.0,4.0,
Cody,Cody1976@gmail.com,G,4.0,3.0,4.0,4.0,
Lon,Lon1985@company.com,H,1.0,3.0,3.0,3.0,The questions quality was absolute garbage. 
Jake,Jake1991@yahoo.com,A,5.0,5.0,5.0,5.0,
Charity,Charity1985@company.com,B,1.0,3.0,4.0,4.0,
Karma,Karma1977@hotmail.com,C,4.0,3.0,3.0,4.0,
Una,Una1974@gmail.com,G,5.0,5.0,5.0,5.0,
Raven,Raven1994@yahoo.com,G,5.0,5.0,3.0,2.0,
Howell,Howell1998@gmail.com,B,4.0,4.0,3.0,3.0,
Vilma,Vilma1971@gmail.com,H,3.0,4.0,4.0,4.0,
Hart,Hart1997@yahoo.com,G,4.0,4.0,4.0,4.0,
Jacquline,Jacquline1973@,D,5.0,5.0,,5.0,
Carlotta,Carlotta1975@yahoo.com,H,4.0,4.0,4.0,4.0,
Izayah,Izayah1970@company.com,F,2.0,2.0,2.0,2.0,
Helma,Helma1995@company.com,G,5.0,5.0,5.0,5.0,
Theda,Theda1991@company.in,G,4.0,5.0,4.0,4.0,
Phyllis,Phyllis1998@company.com,C,5.0,5.0,5.0,5.0,
Myra,Myra1988@gmail.com,B,5.0,5.0,5.0,5.0,
Cary,Cary1986@company.com,G,,,1.0,,
Makhi,Makhi1995@company.com,B,5.0,4.0,4.0,4.0,
Isaak,Isaak1975@company.in,H,5.0,5.0,5.0,5.0,
Staci,Staci1987@,B,2.0,4.0,4.0,4.0,
Gee,Gee1991@company.in,A,5.0,5.0,5.0,5.0,
Phylis,Phylis1995@gmail.com,D,3.0,4.0,4.0,3.0,
Nanie,Nanie1988@yahoo.com,F,3.0,5.0,5.0,3.0,
Clement,Clement1990@gmail.com,H,5.0,3.0,3.0,4.0,
Virgia,Virgia1982@gmail.com,C,1.0,1.0,1.0,1.0,
Francisqui,Francisqui1992@gmail.com,E,5.0,5.0,5.0,5.0,Good 
Beecher,Beecher1975@company.com,F,,,,,java language is not there
Fredie,Fredie1981@,B,5.0,5.0,5.0,5.0,
Ramona,Ramona1980@,F,3.0,3.0,4.0,4.0,
Madalynn,Madalynn1987@company.in,H,5.0,5.0,5.0,5.0,
Tatianna,Tatianna1987@hotmail.com,A,5.0,5.0,5.0,5.0,
Jedidiah,Jedidiah1984@hotmail.com,A,5.0,5.0,5.0,5.0,
Winfield,Winfield1979@yahoo.com,H,3.0,3.0,3.0,3.0,
Violet,Violet1994@gmail.com,G,5.0,5.0,5.0,5.0,
Hezzie,Hezzie1989@gmail.com,H,5.0,3.0,4.0,4.0,
Frazier,Frazier1989@yahoo.com,G,5.0,5.0,,,
Torrance,Torrance1977@yahoo.com,C,5.0,5.0,5.0,5.0,
Donn,Donn1986@gmail.com,B,5.0,5.0,5.0,5.0,
Tommie,Tommie1978@gmail.com,A,5.0,5.0,5.0,,
Taj,Taj1984@,C,,5.0,,5.0,
Stacy,Stacy1980@hotmail.com,E,5.0,4.0,3.0,4.0,
Theodosia,Theodosia1999@hotmail.com,E,4.0,4.0,4.0,4.0,
Lary,Lary1985@,B,4.0,5.0,5.0,5.0,
Crockett,Crockett1990@yahoo.com,D,4.0,4.0,4.0,4.0,
Montel,Montel1986@gmail.com,F,4.0,5.0,5.0,3.0,
Courtney,Courtney1999@yahoo.com,H,5.0,1.0,5.0,4.0,
Margo,Margo1983@company.in,E,4.0,5.0,5.0,5.0,
Kyson,Kyson1970@,C,3.0,4.0,4.0,5.0,
Shante,Shante1984@,B,3.0,4.0,5.0,3.0,
Lori,Lori1971@company.in,D,5.0,5.0,5.0,5.0,"Nice problems , enjoyed doing them "
Kaiden,Kaiden1999@,H,4.0,4.0,4.0,2.0,
Anthony,Anthony1976@company.com,A,3.0,3.0,3.0,3.0,
Hezekiah,Hezekiah1993@company.in,D,4.0,4.0,4.0,4.0,
Cason,Cason1985@company.in,C,5.0,4.0,4.0,3.0,
Mabel,Mabel1993@gmail.com,A,5.0,5.0,5.0,5.0,
Alexis,Alexis1995@company.in,G,5.0,5.0,5.0,5.0,
Lucille,Lucille1991@company.com,D,3.0,4.0,4.0,4.0,
Alberto,Alberto1972@yahoo.com,E,2.0,4.0,4.0,3.0,
Mabel,Mabel1996@,E,,,,,i am java developer
Fannie,Fannie1979@yahoo.com,H,3.0,,,,
Rozanne,Rozanne1997@company.in,H,1.0,1.0,1.0,1.0,there was no test!
Izetta,Izetta1991@yahoo.com,E,5.0,4.0,4.0,4.0,
Isai,Isai1994@yahoo.com,D,5.0,5.0,5.0,3.0,
Nena,Nena1973@company.com,E,5.0,5.0,4.0,5.0,
Walker,Walker1988@company.com,F,5.0,5.0,5.0,5.0,
Emory,Emory1991@company.com,D,2.0,1.0,2.0,3.0,
Deven,Deven1972@yahoo.com,B,3.0,4.0,4.0,3.0,
Elgie,Elgie1986@hotmail.com,D,4.0,4.0,4.0,4.0,
Barnett,Barnett1992@hotmail.com,G,5.0,5.0,5.0,5.0,
Loy,Loy1984@company.com,G,5.0,5.0,5.0,5.0,
Shira,Shira1996@gmail.com,F,1.0,3.0,2.0,2.0,
Dax,Dax1975@gmail.com,A,3.0,,,,
Arlis,Arlis1976@,E,3.0,3.0,3.0,5.0,
Winston,Winston1990@,H,5.0,5.0,5.0,5.0,
Arlene,Arlene1979@,F,5.0,4.0,5.0,4.0,
Tarah,Tarah1973@,F,5.0,5.0,5.0,5.0,Thanks 
Harrison,Harrison1988@gmail.com,F,4.0,4.0,4.0,4.0,
Gilmore,Gilmore1978@company.in,F,5.0,5.0,5.0,5.0,
Hebert,Hebert1979@gmail.com,F,5.0,5.0,5.0,5.0,
Adolf,Adolf1998@company.com,G,5.0,5.0,5.0,5.0,
Euphemia,Euphemia1977@hotmail.com,C,5.0,5.0,5.0,5.0,
Nanette,Nanette1971@gmail.com,E,1.0,5.0,5.0,5.0,
Clarnce,Clarnce1971@,F,5.0,5.0,5.0,5.0,
Kendal,Kendal1992@hotmail.com,G,5.0,5.0,5.0,5.0,
Kandi,Kandi1989@gmail.com,H,5.0,5.0,5.0,5.0,
Breana,Breana1983@hotmail.com,B,5.0,4.0,2.0,3.0,
Nikolas,Nikolas1978@,G,5.0,5.0,5.0,5.0,
Anne,Anne1984@gmail.com,H,4.0,4.0,4.0,4.0,
Baylee,Baylee1985@yahoo.com,G,5.0,5.0,5.0,5.0,
Mabell,Mabell1973@company.com,E,2.0,2.0,2.0,2.0,
Timothy,Timothy1991@company.in,B,5.0,5.0,5.0,5.0,
Briana,Briana1994@hotmail.com,G,4.0,4.0,4.0,4.0,
George,George1977@hotmail.com,F,5.0,5.0,5.0,5.0,
Tammie,Tammie1998@gmail.com,F,2.0,4.0,4.0,3.0,"for abbc,_x005F_x000D_
there exist --> 7 unique sub strings_x005F_x000D_
{a}, {b}, {c}, {ab}, {bc}, {ac}, and {abc}_x005F_x000D_
your test case was wrong"
Irine,Irine1980@yahoo.com,D,5.0,5.0,4.0,5.0,
Effie,Effie1971@,A,4.0,4.0,4.0,4.0,
Jazmin,Jazmin1992@,E,5.0,5.0,5.0,5.0,
Korey,Korey1983@gmail.com,C,4.0,4.0,4.0,4.0,
Giuseppe,Giuseppe1996@hotmail.com,G,5.0,5.0,5.0,5.0,
Mina,Mina1973@company.com,E,5.0,5.0,5.0,5.0,
Seymour,Seymour1999@yahoo.com,C,3.0,4.0,4.0,2.0,
Terri,Terri1991@company.com,D,5.0,5.0,5.0,5.0,
Jethro,Jethro1976@yahoo.com,B,5.0,5.0,4.0,4.0,
Darry,Darry1977@yahoo.com,G,4.0,5.0,5.0,4.0,
French,French1985@,C,4.0,4.0,4.0,4.0,
Adan,Adan1975@gmail.com,G,4.0,3.0,4.0,4.0,
Anfernee,Anfernee1984@,F,4.0,3.0,2.0,1.0,
Ailene,Ailene1975@,C,5.0,5.0,5.0,5.0,
Jeanetta,Jeanetta1998@company.com,A,3.0,4.0,5.0,5.0,
Aidan,Aidan1996@,C,5.0,5.0,5.0,5.0,
Cheri,Cheri1992@gmail.com,C,5.0,5.0,5.0,,
Hedwig,Hedwig1988@gmail.com,H,,5.0,,,
Nanette,Nanette1991@company.com,E,5.0,5.0,5.0,5.0,
Lydia,Lydia1976@hotmail.com,C,3.0,5.0,5.0,5.0,
Carlos,Carlos1995@,B,1.0,1.0,1.0,1.0,
Nancie,Nancie1983@gmail.com,D,4.0,4.0,4.0,4.0,
Euphemia,Euphemia1977@company.in,A,2.0,3.0,4.0,4.0,
Rubin,Rubin1970@company.com,G,4.0,4.0,4.0,4.0,
Keyla,Keyla1972@gmail.com,F,5.0,5.0,5.0,5.0,
Maggie,Maggie1995@company.in,D,5.0,,,,
Kathey,Kathey1999@hotmail.com,C,3.0,4.0,4.0,2.0,
Gertie,Gertie1995@,E,4.0,4.0,4.0,4.0,
Charolette,Charolette1980@company.in,D,5.0,5.0,5.0,5.0,
Beckham,Beckham1992@company.com,B,5.0,5.0,,,
Liddie,Liddie1992@,H,5.0,3.0,,,
Antonette,Antonette1981@company.com,E,4.0,3.0,2.0,4.0,
Jensen,Jensen1992@gmail.com,B,5.0,5.0,5.0,5.0,
Sanders,Sanders1989@hotmail.com,C,1.0,1.0,1.0,1.0,"the testcase were wrong it spoiled the contest_x005F_x000D_
"
Len,Len1984@,F,5.0,5.0,5.0,5.0,
Lulu,Lulu1972@gmail.com,D,5.0,5.0,5.0,5.0,
Bonnie,Bonnie1979@,C,5.0,3.0,3.0,4.0,"Fullscreen is not working properly , if we want to test code ,Everytime need to scoll down to press button"
Reason,Reason1983@gmail.com,G,4.0,4.0,4.0,4.0,
Alger,Alger1994@company.in,B,3.0,3.0,3.0,3.0,
Tara,Tara1983@company.in,E,5.0,5.0,5.0,5.0,
Merrilee,Merrilee1971@,B,5.0,5.0,5.0,1.0,
Yetta,Yetta1993@company.com,A,,,,1.0,No java
Marcela,Marcela1999@yahoo.com,H,5.0,4.0,4.0,5.0,
Fred,Fred1987@hotmail.com,G,4.0,4.0,4.0,4.0,
Immanuel,Immanuel1987@hotmail.com,D,4.0,4.0,4.0,4.0,
Marilla,Marilla1982@yahoo.com,A,4.0,5.0,5.0,5.0,I am not sure if its the recruiters ask and I am the right person to tell this but from the last 4 to 5 contests i am seeing questions only related to XOR operations and bits 
Hazelle,Hazelle1998@company.com,H,5.0,5.0,5.0,5.0,
Breanna,Breanna1989@company.in,H,4.0,3.0,4.0,4.0,
Mitchell,Mitchell1980@,H,3.0,3.0,3.0,3.0,
Mathilde,Mathilde1979@gmail.com,H,1.0,3.0,3.0,3.0,
Rosina,Rosina1994@company.com,E,5.0,5.0,5.0,3.0,
Ayesha,Ayesha1970@hotmail.com,B,5.0,5.0,5.0,5.0,
Tyrell,Tyrell1990@company.in,C,5.0,5.0,5.0,5.0,
Lyndia,Lyndia1986@company.com,F,5.0,5.0,5.0,5.0,
Primus,Primus1974@company.com,A,1.0,3.0,1.0,1.0,
Tierra,Tierra1983@,F,1.0,5.0,5.0,,
Terese,Terese1997@,F,5.0,5.0,4.0,5.0,
Rettie,Rettie1995@yahoo.com,H,2.0,1.0,1.0,1.0,
Dorothea,Dorothea1980@,D,3.0,3.0,3.0,3.0,
Cara,Cara1992@yahoo.com,F,2.0,,,,
Shepherd,Shepherd1980@hotmail.com,B,5.0,5.0,5.0,5.0,
Beverley,Beverley1986@,A,4.0,5.0,4.0,5.0,
Ema,Ema1974@yahoo.com,A,5.0,5.0,5.0,5.0,
Janis,Janis1981@,C,,,,,Error in provided boilerplate code for second programing question.
Kristopher,Kristopher1975@,E,4.0,5.0,5.0,4.0,
Mistie,Mistie1999@gmail.com,A,5.0,4.0,4.0,4.0,
Neveah,Neveah1982@gmail.com,D,5.0,5.0,5.0,1.0,
Verlene,Verlene1971@company.com,C,5.0,5.0,5.0,5.0,
Ethyle,Ethyle1982@yahoo.com,A,1.0,1.0,1.0,1.0,
Larae,Larae1985@,D,5.0,5.0,5.0,4.0,
Newell,Newell1981@yahoo.com,E,1.0,5.0,5.0,3.0,
Jerry,Jerry1990@company.in,F,3.0,3.0,3.0,3.0,
Kyan,Kyan1997@yahoo.com,B,5.0,5.0,5.0,5.0,
Theodore,Theodore1974@,F,,,,,Nicee
Rashaad,Rashaad1994@yahoo.com,F,2.0,5.0,5.0,3.0,
Claudia,Claudia1973@hotmail.com,H,3.0,3.0,3.0,2.0,In first programming question although the solution is correct it is saying timeout exceed. I went through the given example and printed things as it is and at each step i am getting the output as mentioned in example.please look into this.
Warner,Warner1998@company.in,B,3.0,3.0,3.0,3.0,
Keyla,Keyla1994@hotmail.com,C,2.0,4.0,3.0,3.0,
Trinidad,Trinidad1996@,F,4.0,5.0,5.0,5.0,
Daija,Daija1990@yahoo.com,D,,,,,Not applicable as I have no python or C++ experience.
Janice,Janice1971@,F,5.0,,,,
Rodolfo,Rodolfo1991@company.com,G,4.0,4.0,1.0,5.0,
Hugh,Hugh1980@gmail.com,B,5.0,5.0,5.0,5.0,
Shawnda,Shawnda1971@,D,5.0,2.0,5.0,3.0,
Avah,Avah1987@hotmail.com,H,5.0,5.0,5.0,5.0,
Garner,Garner1984@company.com,A,4.0,4.0,4.0,4.0,
Humberto,Humberto1985@yahoo.com,D,5.0,3.0,4.0,4.0,
Lora,Lora1971@,E,2.0,3.0,3.0,2.0,
Shirlene,Shirlene1990@hotmail.com,A,2.0,3.0,2.0,2.0,
Ninnie,Ninnie1983@company.com,E,5.0,5.0,5.0,5.0,
Sheri,Sheri1984@yahoo.com,F,4.0,,,4.0,
Merrily,Merrily1989@hotmail.com,H,3.0,,,,
Brien,Brien1997@gmail.com,A,5.0,5.0,5.0,5.0,
Rustin,Rustin1971@gmail.com,D,5.0,5.0,5.0,5.0,
Everette,Everette1994@company.com,C,4.0,3.0,3.0,4.0,
Miguelangel,Miguelangel1974@company.com,H,5.0,5.0,5.0,5.0,
Romaine,Romaine1979@hotmail.com,H,5.0,5.0,,5.0,
Annetta,Annetta1970@hotmail.com,D,4.0,3.0,4.0,4.0,
Brooke,Brooke1993@hotmail.com,B,4.0,4.0,4.0,4.0,
Deandra,Deandra1984@gmail.com,E,5.0,4.0,5.0,4.0,
Georganna,Georganna1995@,D,5.0,4.0,4.0,3.0,
Roel,Roel1992@gmail.com,A,4.0,3.0,1.0,4.0,
Jayda,Jayda1975@,A,5.0,5.0,5.0,5.0,
Harmony,Harmony1971@yahoo.com,C,5.0,3.0,3.0,4.0,
Illya,Illya1989@gmail.com,A,4.0,4.0,4.0,3.0,
Raekwon,Raekwon1978@yahoo.com,F,4.0,3.0,5.0,3.0,
Hosteen,Hosteen1989@yahoo.com,E,4.0,4.0,4.0,4.0,
